app,time
zoom.us,17:54:17
Firefox,17:58:24
zoom.us,17:58:25
Firefox,17:58:41
zoom.us,17:59:02
Firefox,17:59:29
loginwindow,18:01:42
Firefox,18:14:16
Terminal,18:14:19
Firefox,18:14:21
Spotify,18:16:00
Firefox,18:16:09
Spotify,18:24:32
Firefox,18:24:37
Spotify,18:25:02
Firefox,18:25:06
Messages,18:30:32
Firefox,18:31:18
Messages,18:31:43
Firefox,18:32:53
Messages,18:33:15
Firefox,18:33:20
Messages,18:34:05
Firefox,18:34:06
Spotify,18:34:25
Firefox,18:34:30
Messages,18:34:32
Firefox,18:34:40
Messages,18:34:47
Firefox,18:35:08
Messages,18:35:36
Firefox,18:35:44
Messages,18:36:05
Firefox,18:36:09
Messages,18:36:19
Firefox,18:36:26
Messages,18:36:34
Firefox,18:36:40
Messages,18:36:47
Firefox,18:36:54
Messages,18:36:58
Firefox,18:37:07
Messages,18:37:10
Firefox,18:37:50
Messages,18:38:10
Firefox,18:38:11
Messages,18:38:21
Firefox,18:38:25
Messages,18:39:14
Firefox,18:39:29
Messages,18:39:32
Firefox,18:39:39
Messages,18:40:06
Firefox,18:41:07
Messages,18:41:18
Terminal,18:41:20
Spotify,18:41:23
Terminal,18:42:30
loginwindow,18:42:34
Terminal,19:28:17
Finder,19:28:33
Adobe Flash Player Install Manager,19:29:59
Finder,19:30:18
Terminal,19:31:13
Finder,19:31:26
Terminal,19:31:29
Firefox,19:33:21
Finder,19:33:32
Firefox,19:33:40
Finder,19:33:59
Firefox,19:34:01
Terminal,19:34:26
Preview,19:34:31
Firefox,19:34:37
Finder,19:35:49
Microsoft Word,19:35:59
Microsoft Error Reporting,19:36:17
Finder,19:36:23
Microsoft Word,19:36:29
Firefox,19:36:57
Preview,19:36:59
Microsoft Word,19:37:09
Preview,19:37:48
Firefox,19:37:50
Microsoft Word,19:38:09
Firefox,19:38:16
Microsoft Word,19:39:01
Firefox,19:39:05
Microsoft Word,19:39:07
Spotify,19:39:23
Firefox,19:39:34
Microsoft Word,19:42:02
Firefox,19:42:21
Microsoft Word,19:42:39
Firefox,19:42:40
Microsoft Word,19:43:56
Messages,19:45:00
Microsoft Word,19:45:36
Firefox,19:46:28
Microsoft Word,19:46:42
Messages,19:48:31
Microsoft Word,19:48:54
Firefox,19:48:56
Microsoft Word,19:48:58
Messages,19:49:41
Microsoft Word,19:50:13
Spotify,19:50:33
Firefox,19:50:38
Messages,19:53:31
Firefox,19:53:33
Microsoft Word,19:53:46
Preview,19:54:38
Microsoft Word,19:54:46
Firefox,19:55:08
Microsoft Word,19:55:34
Firefox,19:55:58
Messages,20:00:25
Firefox,20:00:30
Microsoft Word,20:02:56
Preview,20:08:37
Firefox,20:08:39
Microsoft Word,20:09:03
loginwindow,20:10:37
Microsoft Word,21:02:15
Preview,21:02:18
Terminal,21:02:19
Spotify,21:02:21
Preview,21:02:36
Microsoft Word,21:02:45
Preview,21:03:20
Spotify,21:03:23
Microsoft Word,21:03:27
Firefox,21:04:31
Microsoft Word,21:05:30
Preview,21:06:32
Firefox,21:06:43
Spotify,21:14:24
Firefox,21:14:28
Microsoft Word,21:15:02
Preview,21:18:38
Microsoft Word,21:19:06
Spotify,21:19:53
Adobe Flash Player Install Manager,21:20:02
Spotify,21:20:06
Microsoft Word,21:20:51
Spotify,21:25:46
Microsoft Word,21:25:53
Music,21:25:54
Finder,21:26:03
Microsoft Word,21:26:04
Firefox,21:28:13
Microsoft Word,21:28:45
Firefox,21:32:32
Preview,21:33:06
Firefox,21:33:30
Preview,21:37:28
Firefox,21:37:48
Preview,21:38:24
Microsoft Word,21:38:32
ScreenSaverEngine,21:57:50
