date,time,app,pid,x,y
09/22/2020,12:16:00,Terminal,23369,1115.87109375,170.484375
09/22/2020,12:16:01,Terminal,23369,1115.87109375,170.484375
09/22/2020,12:16:02,Terminal,23369,1115.87109375,170.484375
09/22/2020,12:16:03,Terminal,23369,1210.24609375,66.4921875
09/22/2020,12:16:04,Terminal,23369,903.515625,31.78515625
09/22/2020,12:16:05,Terminal,23369,885.1953125,474.54296875
09/22/2020,12:16:06,Terminal,23369,5.36328125,775.03125
09/22/2020,12:16:07,Firefox,23353,609.4921875,827.80078125
09/22/2020,12:16:08,Firefox,23353,0.0,899.98046875
09/22/2020,12:16:09,Firefox,23353,1.21875,465.33203125
09/22/2020,12:16:10,Firefox,23353,1042.5703125,349.3515625
09/22/2020,12:16:11,zoom.us,23410,907.89453125,740.10546875
09/22/2020,12:16:12,zoom.us,23410,907.89453125,740.10546875
09/22/2020,12:16:13,zoom.us,23410,834.81640625,392.0078125
09/22/2020,12:16:14,zoom.us,23410,727.89453125,434.8671875
09/22/2020,12:16:15,zoom.us,23410,1419.69921875,144.8125
09/22/2020,12:16:16,zoom.us,23410,1288.55078125,244.203125
09/22/2020,12:16:17,zoom.us,23410,1314.09765625,582.99609375
09/22/2020,12:16:18,zoom.us,23410,1314.09765625,582.99609375
09/22/2020,12:16:19,zoom.us,23410,1230.6171875,637.37109375
09/22/2020,12:16:20,zoom.us,23410,585.91796875,162.7265625
09/22/2020,12:16:21,zoom.us,23410,577.82421875,157.3125
09/22/2020,12:16:22,zoom.us,23410,911.5859375,306.359375
09/22/2020,12:16:23,zoom.us,23410,911.5859375,306.359375
09/22/2020,12:16:24,zoom.us,23410,913.65234375,310.98046875
09/22/2020,12:16:25,zoom.us,23410,1208.203125,645.4296875
09/22/2020,12:16:26,Installer,23480,1208.203125,645.66015625
09/22/2020,12:16:27,Installer,23480,977.23046875,583.77734375
09/22/2020,12:16:28,Installer,23480,974.8359375,579.75
09/22/2020,12:16:29,Installer,23480,974.8359375,579.98046875
09/22/2020,12:16:30,SecurityAgent,23490,943.05859375,539.87890625
09/22/2020,12:16:31,SecurityAgent,23490,920.8515625,495.15234375
09/22/2020,12:16:32,SecurityAgent,23490,920.8515625,495.15234375
09/22/2020,12:16:33,Installer,23480,598.95703125,307.51171875
09/22/2020,12:16:34,Installer,23480,602.53125,311.08984375
09/22/2020,12:16:35,Installer,23480,602.53125,311.08984375
09/22/2020,12:16:36,Installer,23480,602.53125,311.08984375
09/22/2020,12:16:37,Installer,23480,602.53125,311.08984375
09/22/2020,12:16:38,Installer,23480,602.53125,311.08984375
09/22/2020,12:16:39,Installer,23480,602.53125,311.08984375
09/22/2020,12:16:40,Installer,23480,602.53125,311.08984375
09/22/2020,12:16:41,Firefox,23353,0.0,598.828125
09/22/2020,12:16:42,zoom.us,23563,131.3828125,212.95703125
09/22/2020,12:16:43,zoom.us,23563,627.078125,572.375
09/22/2020,12:16:44,zoom.us,23563,627.078125,572.375
09/22/2020,12:16:45,zoom.us,23563,627.078125,572.375
09/22/2020,12:16:46,zoom.us,23563,627.078125,572.375
09/22/2020,12:16:47,zoom.us,23563,486.91796875,173.4453125
09/22/2020,12:16:48,zoom.us,23563,657.23046875,196.6015625
09/22/2020,12:16:49,zoom.us,23563,657.23046875,196.6015625
09/22/2020,12:16:50,Firefox,23353,432.828125,244.21875
09/22/2020,12:16:51,Firefox,23353,484.30859375,82.015625
09/22/2020,12:16:52,Firefox,23353,484.56640625,81.26171875
09/22/2020,12:16:53,Firefox,23353,96.30859375,39.0703125
09/22/2020,12:16:54,Finder,1264,1314.37109375,430.0390625
09/22/2020,12:16:55,Finder,1264,1308.33203125,319.42578125
09/22/2020,12:16:56,Finder,1264,1122.4609375,625.55859375
